price,quantity,timestamp,side
68006.6,0.149,1771744391.0,bid
68006.2,0.001,1771744384.0,bid
68003.7,0.019,1771744391.0,bid
68003.6,2.206,1771744389.0,bid
68003.1,0.831,1771744391.0,bid
68002.8,0.001,1771744375.0,bid
68001.2,2.206,1771744375.0,bid
68000.6,0.341,1771744395.0,bid
68000.0,1.534,1771744390.0,bid
67999.8,0.096,1771744385.0,bid
67999.4,0.001,1771744336.0,bid
67999.1,0.062,1771744363.0,bid
67998.0,2.206,1771744391.0,bid
67997.3,0.067,1771744363.0,bid
67996.0,0.001,1771744342.0,bid
67994.0,0.067,1771744374.0,bid
67993.2,0.118,1771744395.0,bid
67993.1,0.071,1771744392.0,bid
67993.0,0.057,1771744367.0,bid
67992.6,0.001,1771744363.0,bid
67991.4,2.059,1771744384.0,bid
67991.3,1.471,1771744364.0,bid
67990.3,0.074,1771744391.0,bid
67989.6,0.074,1771744395.0,bid
67986.5,0.25,1771744389.0,bid
67986.4,2.207,1771744366.0,bid
67986.2,0.071,1771744372.0,bid
67983.6,0.736,1771744395.0,bid
67983.5,1.838,1771744395.0,bid
67983.4,0.379,1771744366.0,bid
67981.4,0.883,1771744369.0,bid
67980.5,0.263,1771744241.0,bid
67980.0,0.008,1771744378.0,bid
67979.1,0.883,1771744246.0,bid
67978.7,0.071,1771744344.0,bid
67976.7,0.001,1771744391.0,bid
67975.8,0.002,1771744344.0,bid
67975.6,7.356,1771744279.0,bid
67973.9,0.016,1771744341.0,bid
67972.9,0.683,1771744389.0,bid
67972.8,0.831,1771744395.0,bid
67972.6,0.127,1771744351.0,bid
67971.9,0.071,1771744158.0,bid
67971.3,0.03,1771744344.0,bid
67969.9,0.146,1771744368.0,bid
67968.8,0.045,1771744388.0,bid
67968.7,0.001,1771744385.0,bid
67968.6,0.14,1771744385.0,bid
67967.9,0.001,1771744188.0,bid
67967.4,0.148,1771744368.0,bid
